result_id,fighter_name,fight_id,elo_before,elo_after
81,Snake,34,1510.65,1499.71
82,Luigi,34,1533.83,1544.77
83,Diddy Kong,35,1524.0,1510.87
84,Ice Climbers,35,1499.45,1512.58
85,Mr Game & Watch,36,1500.0,1513.09
86,Samus,36,1523.7,1510.61
87,Link,37,1493.05,1487.48
88,Kirby,37,1511.82,1523.06
89,Meta Knight,37,1497.46,1491.79
90,Pikachu,38,1488.55,1502.61
91,King Dedede,38,1522.9,1516.11
92,Luigi,38,1544.77,1537.5
93,Wario,39,1524.27,1535.33
94,Ganondorf,39,1511.22,1507.42
95,Pit,39,1481.73,1478.38
96,Bowser,39,1518.25,1514.34
97,Samus,40,1510.61,1521.72
98,Ganondorf,40,1507.42,1503.47
99,Ike,40,1466.16,1462.84
100,Sonic,40,1500.0,1496.16
101,DK,41,1494.29,1506.55
102,Jigglypuff,41,1500.0,1487.74
103,Luigi,42,1537.5,1547.77
104,Snake,42,1499.71,1489.44
105,King Dedede,43,1516.11,1527.33
106,ROB,43,1499.05,1487.83
107,Mario,44,1489.39,1503.48
108,Wario,44,1535.33,1521.24
109,Marth,45,1500.0,1488.0
110,Toon Link,45,1500.0,1512.0
111,Bowser,46,1514.34,1525.71
112,Peach,46,1500.54,1489.17
113,Captain Falcon,47,1489.55,1483.29
114,Meta Knight,47,1491.79,1485.48
115,Yoshi,47,1478.17,1490.75
116,Link,48,1487.48,1498.99
117,Zelda,48,1476.88,1465.37
118,Wolf,49,1500.0,1511.88
119,Pit,49,1478.38,1472.88
120,Ness,49,1516.58,1510.2
121,DK,50,1506.55,1493.69
122,ROB,50,1487.83,1500.69
123,Pikachu,51,1502.61,1515.09
124,Mr Game & Watch,51,1513.09,1500.61
125,Sonic,52,1496.16,1482.63
126,Ike,52,1462.84,1476.37
127,Luigi,53,1547.77,1558.57
128,Samus,53,1521.72,1510.92
129,Mario,54,1503.48,1516.58
130,King Dedede,54,1527.33,1514.23
131,Fox,55,1523.47,1534.94
132,Wolf,55,1511.88,1500.41
133,Marth,56,1488.0,1500.79
134,Lucas,56,1505.13,1492.34
135,Kirby,57,1523.06,1534.5
136,Diddy Kong,57,1510.87,1499.43
137,Link,58,1498.99,1509.99
138,Peach,58,1489.17,1483.4
139,Zelda,58,1465.37,1460.14
140,Yoshi,59,1490.75,1504.04
141,Bowser,59,1525.71,1518.91
142,Toon Link,59,1512.0,1505.51
143,Samus,60,1510.92,1521.39
144,Lucario,60,1477.48,1467.01
145,King Dedede,61,1514.23,1525.73
146,Ganondorf,61,1503.47,1491.97
147,Jigglypuff,62,1487.74,1475.22
148,Ike,62,1476.37,1488.89
149,DK,63,1493.69,1482.01
150,ROB,63,1500.69,1512.37
151,Mario,64,1516.58,1510.47
152,Pikachu,64,1515.09,1508.98
153,Wario,64,1521.24,1527.35
154,Mr Game & Watch,64,1500.61,1506.72
155,Olimar,65,1467.0,1479.27
156,Pit,65,1472.88,1460.61
157,Toon Link,66,1505.51,1492.59
158,Meta Knight,66,1485.48,1498.4
159,Marth,67,1500.79,1513.22
160,Ness,67,1510.2,1497.77
161,Captain Falcon,68,1483.29,1496.63
162,Ice Climbers,68,1512.58,1499.24
163,Link,69,1509.99,1522.01
164,Mario,69,1510.47,1498.45
165,Luigi,70,1558.57,1568.46
166,ROB,70,1512.37,1502.48
167,Samus,71,1521.39,1508.72
168,Mr Game & Watch,71,1506.72,1519.39
169,Fox,72,1534.94,1521.94
170,Marth,72,1513.22,1526.22
171,King Dedede,73,1525.73,1521.31
172,Ike,73,1488.89,1485.04
173,Olimar,73,1479.27,1475.56
174,Meta Knight,73,1498.4,1510.38
175,Pokemon Trainer,74,1488.11,1482.51
176,Lucario,74,1467.01,1461.41
177,Ness,74,1497.77,1503.37
178,Lucas,74,1492.34,1497.94
179,Wolf,75,1500.41,1512.3
180,Ice Climbers,75,1499.24,1493.27
181,Captain Falcon,75,1496.63,1490.72
182,Yoshi,76,1504.04,1493.44
183,Kirby,76,1534.5,1545.1
184,Mario,77,1498.45,1510.93
185,Pikachu,77,1508.98,1496.5
186,Sonic,78,1482.63,1493.65
187,Lucario,78,1461.41,1450.39
188,Mr Game & Watch,79,1519.39,1530.61
189,ROB,79,1502.48,1491.26
190,DK,80,1482.01,1495.14
191,King Dedede,80,1521.31,1514.41
192,Ganondorf,80,1491.97,1485.74
193,Jigglypuff,81,1475.22,1465.59
194,Wario,81,1527.35,1536.98
195,Mario,82,1510.93,1498.27
196,Pikachu,82,1496.5,1509.16
197,Mario,83,1498.27,1486.77
198,Pikachu,83,1509.16,1520.66
199,Peach,84,1483.4,1472.14
200,Diddy Kong,84,1499.43,1510.69
201,Yoshi,85,1493.44,1505.9
202,Ness,85,1503.37,1490.91
203,Wolf,86,1512.3,1523.31
204,Captain Falcon,86,1490.72,1479.71
205,Meta Knight,87,1510.38,1469.68
206,Toon Link,87,1492.59,1505.41
207,Zelda,87,1460.14,1474.43
208,Olimar,87,1475.56,1489.15
209,Fox,88,1521.94,1533.94
210,Link,88,1522.01,1510.01
211,Ganondorf,89,1485.74,1475.06
212,King Dedede,89,1514.41,1525.09
213,Snake,90,1489.44,1475.66
214,Lucario,90,1450.39,1464.17
215,Sonic,91,1493.65,1506.34
216,Samus,91,1508.72,1496.03
217,Luigi,92,1568.46,1554.73
218,Mr Game & Watch,92,1530.61,1544.34
219,Mario,93,1486.77,1477.05
220,Wario,93,1536.98,1546.7
221,Ice Climbers,94,1493.27,1482.78
222,Marth,94,1526.22,1536.71
223,Pit,95,1460.61,1474.32
224,Lucas,95,1497.94,1484.23
225,Zelda,96,1474.43,1468.58
226,Toon Link,96,1505.41,1499.56
227,Meta Knight,96,1469.68,1475.53
228,Wolf,96,1523.31,1529.16
